,Id,Title,Fake/Real,count_quotes,has_quote_start,has_dots,has_apostrophe_s,has_apostrophe,has_number,has_comma,has_colon,has_parenthesis,has_hyphen,has_and,has_percentage,has_interrogation,has_exclamation,has_only_first_upper,has_any_noun_verb_lower,length,ADJ,ADV,NOUN,VERB,PROPN,PUNCT
15,15,Devangshu Datta: Storm clouds before the Budget,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,7,0,0,5,0,0,1
16,16,"""Medical Advancement: Breakthrough Treatment Offers Hope for Alzheimer's Patients""",1,2,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,9,1,0,6,1,0,3
17,17,"""Jay Z Announces 'Budweiser Made In America Festival' Across the USA""",1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,2,5,4
18,18,NASA launches carbon satellite after 2009 failure (Update 2),0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,9,0,0,3,2,1,2
19,19,Fed gives thumbs down to five banks over capital plans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,1,4,1,1,0
20,20,"""Tech Revolution: Quantum Computing Promises Breakthroughs in Science""",1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,5,1,1,3
21,21,Massive Diamond Found in South African Mine,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,2,1,0,0
22,22,Facebook celebrates Pride with 28 new gay emoticons,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,8,1,0,4,0,1,0
23,23,"""Google's Self-Driving Car: The Future Is Here""",1,2,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,7,0,1,3,1,1,4
24,24,Unemployment Rates in Binghamton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,1,0
25,25,"Gas prices up 2 cents in Rhode Island, to $3.70",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,10,0,1,5,0,0,1
26,26,"""Toyota Reveals Timetable and Price for New Fuel Cell Car""",1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,5,1,1,2
27,27,What to drink with your Easter chocolate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1,0,1,1,0,0
28,28,Samsung new flagship S5 hit shelves,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,6,1,0,3,1,1,0
29,29,"Jenny McCarthy Defends Comments Against Huge Backlash: ""I'm Not 'Anti  ...",0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,11,2,0,2,1,2,4
30,30,"Agent: Pistorius planned travel with girlfriend - NewsOn6.com - Tulsa, OK - News  ...",0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,14,1,0,5,1,1,6
31,31,Paul McCartney cancels Japan tour because of sickness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,2,1,3,0
32,32,"Microsoft seeks Office testers, possibly for Android tablet and Metro versions",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,11,1,1,4,1,2,1
33,33,Scientists Discover New Species in Amazon Rainforest,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,2,1,1,0
34,34,"""Fundraiser Turns Town Pink for a Worthy Cause""",1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,3,1,0,2
35,35,T-Mobile Takes The Data Worries Out Of Music Streaming,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,9,0,0,5,1,1,1
36,36,"July 4 Weekend to See Most Drivers in 7 Years, AAA Says",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,12,1,0,4,2,1,1
37,37,Forget the drama: A solution for Crimea,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,7,0,0,2,1,1,1
38,38,Small Businesses Lobby for Export-Import Bank,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,1,0,4,1,0,1
39,39,"""Critical Data Delays Hamper Search for Missing Malaysia Airlines Flight""",1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,5,2,1,2
40,40,Behind The Mic With Joe Mathieu: Amazon Paying Employees To Quit,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,11,0,0,3,2,2,1
41,41,"""Historical Revelation: Unearthed Artifacts Provide Glimpse into Lost Kingdom""",1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,1,0,4,3,0,3
42,42,Rolls-Royce to return £1bn to nervous shareholders,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,7,1,0,4,1,0,1
43,43,Microsoft expected to announce job cuts this week Reports,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,4,2,1,0
44,44,Surgery gives long-term help for obese diabetics,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,7,2,0,4,1,0,1
45,45,Toyota Clings to Global Sales Lead Over Volkswagen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,4,0,1,0
46,46,"Injecting Gene Into Heart Muscle May Replace Pacemaker, Scientists Say",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,10,0,0,5,3,0,1
47,47,Cancer-care costs a big topic at oncologists' conference,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,8,1,0,5,1,0,1
48,48,Does Twitter's New Design of User's Profile Page Look Kind of FaceBook-Ish To  ...,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,14,1,1,6,1,1,2
49,49,L'Wren Scott sister claims she has been frozen out of sibling's funeral,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,12,0,0,2,2,3,0
50,50,Anna Paquin Goes Vampy In Thakoon LBD And Gold ...,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,10,1,0,1,1,4,1
51,51,Potato Salad Fundraiser Goes Viral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,0,1,1,2,0
52,52,"""Community Spirit: Local Heroes Recognized for Selfless Acts of Kindness""",1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,2,0,5,1,0,3
53,53,Pending Home Sales Rise Over Six Percent in May,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,3,2,0,0
54,54,Movie review: Book a room at 'The Grand Budapest',0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,9,1,0,5,0,0,3
55,55,"Abilene residents torn on Affordable Care Act, deadline approaching",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,9,2,0,3,2,1,1
56,56,"""Sierra Leone News: UNICEF Steps Up Efforts to Prevent Spread of Disease""",1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,6,2,1,3
57,57,Suspected Ebola case 'tentatively negative',0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5,1,1,1,1,1,2
58,58,Reversal Day On The Nasdaq..... Market Overall Next Up?,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,9,0,3,3,0,1,2
59,59,"""Space Odyssey: Astronomers Uncover Astonishing Secrets of the Universe""",1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,5,2,0,3
60,60,"""Royal Dutch Shell to Sell $5.32 Billion in Woodside Shares""",1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,3,0,2,1,0,2
61,61,WHO raises alarm on deadly bacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,0,2,1,0,0
62,62,"""Editorial: Ohio Urged to Lead with Higher Cigarette Tax""",1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,1,0,3,2,1,3
63,63,Nadella: Microsoft committed to Xbox business,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6,0,0,1,1,3,1
64,64,Mosquito-borne illness hits U.S.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,0,0,1,1,4,1
65,65,Game Of Thrones: The Purple Wedding as it happened,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,9,1,0,3,1,0,1
66,66,'X-Men' must travel through time to survive,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,7,0,0,4,2,0,1
67,67,"US stock market mostly higher as earnings pour in - WBOC-TV 16, Delmarvas  ...",0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,14,1,1,6,0,1,4
68,68,New music coming from Michael Jackson estate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1,0,1,1,3,0
69,69,Kanye and Kim tie the knot in Florence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,2,1,2,0
70,70,"""Computer Simulation Reveals the Birth of Our Universe""",1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4,1,0,2
71,71,Cause of Asiana crash to be released,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,2,1,1,0
72,72,"""Box Office Triumph: Highly Anticipated Film Shatters Opening Weekend Records""",1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,10,0,1,7,2,0,3
73,73,"Declaration in Fact- Chipotle Mexican Grill (NYSE:CMG), Endo International  ...",0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,10,1,0,2,0,6,5
74,74,Caterpillar: Shifting profits overseas is what 'any prudent multinational' would do,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,11,1,1,3,2,0,3
75,75,Critic's Corner for June 27,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,1,0
76,76,"23/05/2014Kim, Kanye kick off pre-wedding festivities",0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,6,3,0,1,1,1,1
77,77,Motorists brace for record-high gas prices,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,6,1,0,4,1,0,1
78,78,Bitcoin field day: MIT freshmen to get free cryptocurrency,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,9,2,0,4,2,0,1
79,79,"""German Business Confidence Declines Amid Slower Economic Growth""",1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,3,0,4,0,0,2
80,80,"""Solo Explorer's Journey: Adventurer Chronicles Perilous Trek Through Arctic Tundra""",1,2,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,10,2,0,5,1,1,3
81,81,Target CEO Resigns After Last Year's Hack,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,7,1,0,2,1,2,0
82,82,"""On the Set of 'Maleficent' with Angelina Jolie""",1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,0,2,4
83,83,"""ABC Names David Muir as Diane Sawyer's Successor on 'World News'""",1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,11,0,0,5,0,4,4
84,84,Facebook pays half a billion dollars for firm that slaps ads on videos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,4,2,1,0
85,85,"So, Is Lea Michele Dating a Gigolo?",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,7,0,1,1,1,2,2
86,86,Palm Sunday kicks off Holy Week for Christians,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,1,0,3,0,2,0
87,87,"Hot biz files bankruptcy, admits fraud",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,6,1,0,4,1,0,1
88,88,Facebook and Twitter make plays for the ecommerce market,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,5,1,0,0
89,89,"""Tim Hortons and Burger King Deal Nears Completion, Shares Surge Further""",1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,0,1,6,2,1,3
90,90,Facebook is said to be building a video-messaging app to rival the Snapchat  ...,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,14,0,0,3,4,1,2
91,91,"""Spider-Man Battling Bullying: Andrew Garfield Wins Over Inner City Kids""",1,2,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,10,1,0,5,2,2,4
92,92,Dow Jones Industrial Average Hits Record-High Close,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,7,1,0,2,1,4,1
93,93,Pink Floyd set to release their first album in more than two decades - but no tour!,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,17,3,0,4,2,0,2
94,94,Paul McCartney cancels Japan tour because of illness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,2,1,3,0
95,95,'Extant' Recap: What Really Happened on That Solo Mission?,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,9,1,1,3,1,0,4
96,96,World of Warcraft drops to 7.6 million subscribers,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,8,0,0,3,1,0,0
97,97,World's Largest Ocean Cleanup Operation Begins,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,6,1,0,4,1,0,0
98,98,China to investigate Microsoft for 'monopolistic behavior',0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,7,1,0,1,1,2,2
99,99,Pesticides and colder winters triggered collapse of honeybee colonies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,1,0,5,1,0,0
100,100,Men Saying Dumb Things in Playboy Interviews: A History,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,1,0,4,1,1,1
101,101,"""Artistic Expression: Renowned Painter's Masterpiece Sells for Record Price""",1,2,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,9,2,0,5,1,0,3
102,102,"Finally, solid pay raises going to workers in some industries; for others, the wait  ...",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,15,1,1,6,1,0,4
103,103,Michael Jackson Brother Displeased on Michael's “Xscape” Album,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,1,5,2
104,104,'Game of Thrones' Season 4 Spoiler: Tyrion to Know Ex-Wife is Not a Prostitute  ...,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,15,0,0,9,1,0,3
105,105,"New York prosecutor probes high-speed trading, source tells Reuters",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,9,1,0,5,2,2,2
106,106,"""WWE 'Money in the Bank' Event Gains Attention""",1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,5,1,0,3
107,107,Aaliyah Biopic Casts Zendaya Coleman in Lead Role,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,2,1,3,0
108,108,'Clouds of Sils Maria' Trailer: Chloe Grace Moretz Does Her Best Kristen Stewart  ...,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,14,0,1,5,2,3,3
109,109,"Lee Marshall, who voiced Tony the Tiger, dead at 64",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,10,1,1,1,1,2,2
110,110,Miley Cyrus Announces New Rescheduled Date for Bangerz Tour,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,2,2,2,0
111,111,"""Thailand Woos Latin American Market with Aggressive Strategies""",1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,2,0,4,2
112,112,Glass Explorer Program Extended to United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,1,2,0
113,113,[I/O 2014] Numerous Enterprise-Related Security Enhancements Are Slated For  ...,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,10,1,0,4,2,0,3
114,114,UK and Ireland regulators investigate Facebook over mood experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,4,1,2,0
115,115,"""IMF Chief Christine Lagarde Insists She Will Not Quit Amid French Fraud Case""",1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,1,0,2,2,4,2
116,116,Twitter zooms 29% higher on strong sales and mobile growth,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,10,3,0,4,1,0,0
117,117,April 26 is Drug Take-Back Day for Unwanted Prescriptions,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,9,1,0,3,1,1,1
118,118,AT&T HTC One Mini Android 4.4.2 Update Released,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,8,1,0,2,2,1,0
119,119,Eurozone manufacturing recovery slows in March,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,3,1,1,0
120,120,"""Subway Addresses Chemical Concerns, Plans Full Ingredient Transition""",1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,8,1,0,5,1,1,3
121,121,Most Celebrity First Tweets Are Mad Boring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,3,0,3,0,0,0
122,122,A&M developing health plan for South Texas with goal of reducing diseases by  ...,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,14,0,0,5,2,2,1
123,123,Salmonella outbreak linked to Mount Healthy hatchery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1,0,2,2,1,0
124,124,Microsoft warns of targeted attacks through Internet Explorer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,3,2,1,0
125,125,'American Idol 13': 'Top 6 Finalists Perform' recap,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,8,1,0,3,0,2,5
126,126,"Amazon, HBO agree on deal for classic shows via Prime",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,10,1,0,3,1,2,1
127,127,Another Shock Video Catches Planned Parenthood Teaching Teens S&M Sex  ...,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,11,0,0,6,2,1,1
128,128,"Curiosity drill complete, mission Mount Sharp next",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,7,2,1,3,0,1,1
129,129,Yellen stays upbeat but is watching housing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1,0,1,2,1,0
130,130,'Guardians of the Galaxy': Dave Bautista explains Drax's tattoos,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,9,0,0,4,1,2,3
131,131,Of Note April 12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4,0,0,1,0,1,0
132,132,Nearing Easter: Christians celebrate Palm Sunday,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6,0,0,1,2,3,1
133,133,Billboard Music Awards 2014: Stars Heat Up The Red Carpet,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,10,1,0,5,1,0,1
134,134,UCLA Health System's Hospitals Ranked Among Nation's Best,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,8,1,0,4,2,0,0
135,135,"Katherine Heigl Talks Family, Hollywood And Rom-Com Regrets...",0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,8,0,0,5,1,2,3
136,136,The Guy Who Made Flappy Bird Says He Might Bring It Back,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,1,0,2,3,0,0
137,137,"""GM Issues Six New Recalls, Affecting 7.6 Million Vehicles""",1,2,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,9,1,0,2,2,1,3
138,138,iOS Years Behind Android in Usability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,4,0,0,0
139,139,India factory output hits 17-month peak: PMI,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,7,0,0,5,1,1,2
140,140,"""Space Exploration Achievement: Probe Discovers Liquid Water on Remote Moon""",1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,2,0,6,1,0,3
141,141,"Hey men, forget the smartwatch and fitness band and track vitals, health with a shirt",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,15,0,0,8,1,0,2
142,142,Gabby Sidibe Inspires at MS Foundation Awards Celebration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4,0,3,0
143,143,Heightened enforcement on Yolo waterways,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,2,1,0,0
144,144,Chrysler Loses $690 Million After Buying Out Union Medical Trust,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,10,0,0,1,2,3,0
145,145,EUR/USD holding strong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,2,1,0,0
146,146,Time Warner Cable Doesn't Have To Keep Records Of Your Complaints So Shut  ...,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,14,0,1,3,3,2,1
147,147,Debbie Gibson Blames Extreme Weight Loss on Terrifying Battle with Disease,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,4,1,2,0
148,148,Parrot Bebop Drone Uses Oculus to Put Eyes in the Sky,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,4,2,2,0
149,149,Facebook messed with your head,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,1,1,1,0
150,150,Gary Oldman: It was great to be part of Dawn Of The Planet Of The Apes,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,16,1,0,4,0,2,1
151,151,Kirkland Signature Fruit Recall at Costco for Salmonella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4,0,2,0
152,152,Kris Jenner Posts Bikini Body Picture After Kim Kardashian Does,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,4,1,4,0
153,153,Ron Howard making Beatles documentary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,2,1,2,0
154,154,Another GM Recall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0,1,0
155,155,Fabien Cousteau prepares to return to land after underwater living experiment in  ...,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,13,1,0,3,2,2,1
156,156,Movie review: Tammy,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,2,0,1,1
157,157,'Sons of Guns' Star William Hayden Arrested on Charge of Child Rape,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,0,5,1,3,1
158,158,Samsung's long-awaited Galaxy S5 now on sale in 125 countries,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,10,0,2,4,1,1,1
159,159,Appreciation: Social change powered Mazursky's comedy,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,6,1,0,3,1,1,1
160,160,"""Biological Wonder: Scientists Unlock Secrets of Rare Amazonian Plant""",1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,3,0,4,1,0,3
161,161,Opportunity Mars rover smashes offworld distance record held by Lunokhod 2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,11,0,0,6,2,1,0
162,162,This Cup Can Tell the Difference Between Coke and Pepsi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2,1,2,0
163,163,Excessive Speed Caused Paul Walker Crash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,1,0,2,1,2,0
164,164,"""NSA Acknowledges Knowledge and Use of Heartbleed Web Exploit""",1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,4,1,1,2
165,165,Swift could open the floodgates of “cheap and cheerful” apps,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,3,0,2,1,0,2
166,166,Emails Show Google Offered to Aid Samsung in Apple Case,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,3,3,2,0
167,167,"Ralph Lauren Joins Apple, Nike In Wearable Tech Fad RL AAPL NKE",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,12,2,0,2,1,6,1
168,168,Jada Pinkett Smith slams media: 'You're acting like covert pedophiles',0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,10,1,0,1,1,5,3
169,169,Here's Video of Beyoncé's Sister Attacking Jay-Z in an Elevator,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,10,0,1,3,1,3,1
170,170,Eve: Beautiful Bride On Wedding Day — See Gorgeous Dress,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,10,2,0,4,1,1,2
171,171,ABC's BILLBOARD MUSIC AWARDS is Most-Watched Telecast in 13 Years,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,10,0,1,5,1,1,1
172,172,OkCupid Proudly Admits It Experiments On People All The Time,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,1,2,2,1,0
173,173,"'Captain America: The Winter Soldier' Review: Best Marvel Phase 2 Film, or Best  ...",0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,14,2,0,6,0,2,5
